Agree,Disagree,Stronglyagree,Stronglydisagree
19,4,30,3
17,3,17,17
141,19,129,6
276,35,190,8
1127,123,813,18
1145,119,900,21
447,53,368,11
422,32,422,6
2443,237,2798,37
2077,213,2454,35
