0-10,11-25,26-100,101-200,200-500,500Plux,TotalNumber
36,24,21,6,0,2,90
83,87,83,18,9,6,288
272,451,566,154,52,12,1508
70,158,351,164,54,12,811
163,381,884,516,341,132,2418
