Agree,Disagree,Stronglyagree,Stronglydisagree
70,19,29,1
32,8,15,1
149,27,50,5
111,30,44,6
650,106,359,9
604,100,294,6
323,55,184,7
284,57,181,4
709,136,509,15
865,143,592,20
