CNT,STIDSTD,BirthYear,Gender,Repeat01,Repeat02,Repeat03,LateForSchool,SkipWholeDay,SkipClasses
China-Shanghai,00104,1996,Female,never,never,never,None,None,None
China-Shanghai,00105,1996,Male,twiceormore,never,never,None,None,None
China-Shanghai,00106,1996,Male,never,never,NA,Oneortwotimes,None,None
China-Shanghai,00107,1996,Female,never,never,NA,Oneortwotimes,None,None
China-Shanghai,00108,1996,Female,never,never,never,None,None,None
China-Shanghai,00109,1996,Female,once,once,NA,Oneortwotimes,None,None
China-Shanghai,00110,1996,Male,never,never,never,None,None,None
China-Shanghai,00111,1996,Female,once,NA,NA,None,None,None
China-Shanghai,00112,1996,Male,never,never,never,None,None,None
China-Shanghai,00113,1996,Female,once,never,NA,None,None,None
China-Shanghai,00114,1996,Male,never,never,never,None,None,None
China-Shanghai,00115,1996,Female,never,never,never,None,None,None
China-Shanghai,00116,1996,Male,never,never,NA,None,None,None
China-Shanghai,00117,1996,Female,once,never,never,None,None,None
China-Shanghai,00118,1996,Female,once,never,never,None,None,None
China-Shanghai,00119,1996,Male,once,NA,NA,None,None,None
China-Shanghai,00120,1996,Female,never,never,NA,None,None,None
China-Shanghai,00121,1996,Male,never,never,never,None,None,None
China-Shanghai,00122,1996,Female,once,NA,NA,None,None,None
China-Shanghai,00123,1996,Female,once,NA,NA,None,None,None
China-Shanghai,00124,1996,Male,never,never,never,None,None,None
China-Shanghai,00125,1996,Female,never,once,NA,None,None,None
China-Shanghai,00126,1996,Male,never,never,never,None,None,None
China-Shanghai,00127,1996,Male,never,never,NA,None,None,None
China-Shanghai,00128,1996,Male,never,never,NA,None,None,None
China-Shanghai,00129,1996,Female,never,never,NA,None,None,None
China-Shanghai,00130,1996,Male,never,never,NA,None,None,None
China-Shanghai,00131,1996,Male,never,never,never,None,None,None
China-Shanghai,00132,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00133,1996,Female,NA,once,NA,None,None,None
China-Shanghai,00134,1996,Female,never,never,never,None,None,None
China-Shanghai,00135,1996,Male,never,never,never,None,None,None
China-Shanghai,00136,1996,Female,never,never,never,None,None,None
China-Shanghai,00137,1996,Male,never,never,never,Threeorfourtimes,None,None
China-Shanghai,00138,1996,Male,never,never,never,None,None,None
China-Shanghai,00139,1996,Male,never,never,never,None,None,None
China-Shanghai,00140,1996,Female,never,never,never,None,None,None
China-Shanghai,00141,1996,Male,never,never,never,None,None,None
China-Shanghai,00142,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00143,1996,Female,never,never,never,None,None,Oneortwotimes
China-Shanghai,00144,1996,Female,never,never,never,None,None,None
China-Shanghai,00145,1996,Male,never,never,never,None,None,None
China-Shanghai,00146,1996,Male,never,never,never,None,None,None
China-Shanghai,00147,1996,Male,never,never,never,None,None,None
China-Shanghai,00148,1996,Female,never,never,never,None,None,None
China-Shanghai,00149,1996,Female,never,never,never,None,None,None
China-Shanghai,00150,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00151,1996,Male,never,never,never,None,None,None
China-Shanghai,00152,1996,Male,never,never,never,None,None,None
China-Shanghai,00153,1996,Male,never,never,never,None,None,None
China-Shanghai,00154,1996,Female,never,never,never,None,None,None
China-Shanghai,00155,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00156,1996,Male,never,never,never,None,None,None
China-Shanghai,00157,1996,Male,never,never,never,None,None,None
China-Shanghai,00158,1996,Male,never,never,never,None,None,None
China-Shanghai,00159,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00160,1996,Male,never,never,never,None,None,None
China-Shanghai,00161,1996,Female,never,never,NA,None,None,None
China-Shanghai,00162,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00163,1996,Male,never,never,never,None,None,None
China-Shanghai,00164,1996,Female,never,never,never,None,None,None
China-Shanghai,00165,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00166,1996,Male,never,never,never,None,None,None
China-Shanghai,00167,1996,Male,never,never,never,None,None,None
China-Shanghai,00168,1996,Male,never,never,never,None,None,None
China-Shanghai,00169,1996,Male,never,never,never,None,None,None
China-Shanghai,00170,1996,Male,never,never,never,None,None,None
China-Shanghai,00171,1996,Male,never,never,never,None,None,None
China-Shanghai,00172,1996,Male,never,never,NA,None,None,None
China-Shanghai,00173,1996,Female,never,never,NA,None,None,None
China-Shanghai,00174,1996,Male,never,never,NA,None,None,None
China-Shanghai,00175,1996,Male,never,never,NA,None,None,None
China-Shanghai,00176,1996,Female,never,never,never,None,None,None
China-Shanghai,00177,1996,Male,once,never,NA,None,None,None
China-Shanghai,00178,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00179,1996,Female,never,never,NA,None,None,None
China-Shanghai,00180,1996,Male,never,never,NA,None,None,None
China-Shanghai,00181,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00182,1996,Female,never,never,never,None,None,None
China-Shanghai,00183,1996,Male,never,never,never,None,None,None
China-Shanghai,00184,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00185,1996,Female,never,never,never,None,None,None
China-Shanghai,00186,1996,Male,never,never,NA,None,None,None
China-Shanghai,00187,1996,Male,never,never,NA,None,None,None
China-Shanghai,00188,1996,Female,never,never,NA,None,None,None
China-Shanghai,00189,1996,Male,never,never,never,None,None,None
China-Shanghai,00190,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00191,1996,Male,never,never,never,None,None,None
China-Shanghai,00192,1996,Female,never,never,NA,None,None,None
China-Shanghai,00193,1996,Female,once,NA,NA,None,None,None
China-Shanghai,00194,1996,Female,never,never,never,None,None,None
China-Shanghai,00195,1996,Female,never,never,NA,None,None,None
China-Shanghai,00196,1996,Female,never,never,never,None,None,None
China-Shanghai,00197,1996,Female,never,never,NA,None,None,None
China-Shanghai,00198,1996,Male,never,never,NA,Oneortwotimes,None,None
China-Shanghai,00199,1996,Male,never,never,NA,None,None,None
China-Shanghai,00200,1996,Male,never,never,NA,None,None,None
China-Shanghai,00201,1996,Female,never,never,NA,None,None,None
China-Shanghai,00202,1996,Female,never,never,NA,None,None,None
China-Shanghai,00203,1996,Male,never,never,NA,None,None,None
China-Shanghai,00204,1996,Male,never,never,NA,Oneortwotimes,None,None
China-Shanghai,00205,1996,Female,never,never,NA,None,None,None
China-Shanghai,00206,1996,Male,never,never,NA,None,None,None
China-Shanghai,00207,1996,Male,never,never,NA,Oneortwotimes,None,None
China-Shanghai,00208,1996,Male,never,never,NA,None,None,None
China-Shanghai,00209,1996,Male,never,never,NA,None,None,None
China-Shanghai,00210,1996,Male,never,never,NA,None,None,None
China-Shanghai,00211,1996,Female,never,never,NA,None,None,None
China-Shanghai,00212,1996,Male,once,never,never,None,None,None
China-Shanghai,00213,1996,Male,once,never,NA,None,None,None
China-Shanghai,00214,1996,Male,never,never,never,None,None,None
China-Shanghai,00215,1996,Female,never,never,NA,None,None,None
China-Shanghai,00216,1996,Female,never,never,NA,None,None,None
China-Shanghai,00217,1996,Male,never,never,NA,Oneortwotimes,None,None
China-Shanghai,00218,1996,Female,never,never,NA,Oneortwotimes,None,None
China-Shanghai,00219,1996,Male,never,never,NA,None,None,None
China-Shanghai,00220,1996,Male,once,never,NA,None,None,None
China-Shanghai,00221,1996,Female,never,never,NA,None,None,None
China-Shanghai,00222,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00223,1996,Male,never,never,NA,None,None,None
China-Shanghai,00224,1996,Male,never,never,never,None,None,None
China-Shanghai,00225,1996,Male,never,never,NA,Oneortwotimes,None,None
China-Shanghai,00226,1996,Female,never,never,NA,None,None,None
China-Shanghai,00227,1996,Male,twiceormore,never,never,None,None,None
China-Shanghai,00228,1996,Male,never,never,NA,None,None,None
China-Shanghai,00229,1996,Male,never,never,never,None,None,None
China-Shanghai,00230,1996,Male,never,never,NA,None,None,None
China-Shanghai,00231,1996,Male,never,never,NA,None,None,None
China-Shanghai,00232,1996,Male,never,never,NA,None,None,None
China-Shanghai,00233,1996,Female,never,never,NA,None,None,None
China-Shanghai,00234,1996,Male,never,never,NA,None,None,None
China-Shanghai,00235,1996,Male,never,never,NA,None,None,None
China-Shanghai,00236,1996,Male,never,never,never,Threeorfourtimes,Oneortwotimes,Oneortwotimes
China-Shanghai,00237,1996,Male,never,never,NA,None,None,None
China-Shanghai,00238,1996,Female,never,never,NA,None,None,None
China-Shanghai,00239,1996,Female,once,NA,NA,None,None,None
China-Shanghai,00240,1996,Female,never,never,never,Threeorfourtimes,None,None
China-Shanghai,00241,1996,Female,never,never,never,Oneortwotimes,None,Threeorfourtimes
China-Shanghai,00242,1996,Male,never,never,never,None,None,None
China-Shanghai,00243,1996,Female,never,never,never,Threeorfourtimes,None,None
China-Shanghai,00244,1996,Male,never,never,never,None,None,None
China-Shanghai,00245,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00246,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00247,1996,Male,never,never,never,None,None,None
China-Shanghai,00248,1996,Male,never,never,never,None,None,None
China-Shanghai,00249,1996,Female,never,never,never,None,None,None
China-Shanghai,00250,1996,Male,never,never,never,None,None,None
China-Shanghai,00251,1996,Male,never,never,never,None,None,None
China-Shanghai,00252,1996,Female,never,never,never,None,None,None
China-Shanghai,00253,1996,Female,never,never,never,None,None,None
China-Shanghai,00254,1996,Female,never,never,never,None,None,None
China-Shanghai,00255,1996,Female,never,never,never,None,None,None
China-Shanghai,00256,1996,Female,never,never,never,None,None,None
China-Shanghai,00257,1996,Male,never,never,never,None,None,None
China-Shanghai,00258,1996,Female,never,never,never,None,None,None
China-Shanghai,00259,1996,Female,never,never,never,None,None,None
China-Shanghai,00260,1996,Male,never,never,never,None,None,None
China-Shanghai,00261,1996,Male,never,never,never,None,None,None
China-Shanghai,00262,1996,Male,never,never,never,None,None,None
China-Shanghai,00263,1996,Male,never,never,never,None,None,None
China-Shanghai,00264,1996,Female,never,never,never,None,None,None
China-Shanghai,00265,1996,Female,never,never,never,None,None,None
China-Shanghai,00266,1996,Male,never,never,NA,None,None,None
China-Shanghai,00267,1996,Male,never,never,never,None,None,None
China-Shanghai,00268,1996,Male,never,never,never,None,None,None
China-Shanghai,00269,1996,Female,never,never,never,None,None,None
China-Shanghai,00270,1996,Female,never,never,never,None,None,None
China-Shanghai,00271,1996,Male,never,never,never,None,None,None
China-Shanghai,00272,1996,Female,never,never,never,None,None,None
China-Shanghai,00273,1996,Male,never,never,never,None,None,None
China-Shanghai,00274,1996,Male,never,never,never,Fiveormoretimes,None,Oneortwotimes
China-Shanghai,00275,1996,Female,never,never,never,None,None,None
China-Shanghai,00276,1996,Female,never,never,never,None,None,None
China-Shanghai,00277,1996,Female,never,never,never,None,None,None
