Agree,Disagree,Stronglyagree,Stronglydisagree
1183,113,1132,27
1048,118,930,23
2037,241,1869,36
1930,212,1794,47
3343,337,3232,75
2895,307,2834,78
1198,131,1390,22
1274,122,1571,23
2278,231,2618,79
2441,251,2686,70
