CNT,STIDSTD,BirthYear,Gender,Repeat01,Repeat02,Repeat03,LateForSchool,SkipWholeDay,SkipClasses
Israel,00765,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00766,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00767,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00768,1996,Female,never,never,never,None,None,None
Israel,00769,1996,Female,never,never,NA,None,Oneortwotimes,None
Israel,00770,1996,Female,never,never,never,None,None,Threeorfourtimes
Israel,00771,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00772,1996,Female,never,never,never,None,None,None
Israel,00773,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00774,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00775,1996,Female,never,never,never,None,None,Oneortwotimes
Israel,00776,1996,Female,never,never,never,Threeorfourtimes,None,None
Israel,00777,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00778,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,Threeorfourtimes
Israel,00779,1996,Female,never,never,never,Fiveormoretimes,Threeorfourtimes,Fiveormoretimes
Israel,00780,1996,Female,never,never,never,None,Oneortwotimes,Oneortwotimes
Israel,00781,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00782,1996,Female,never,never,never,Threeorfourtimes,Threeorfourtimes,Threeorfourtimes
Israel,00783,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00784,1996,Female,never,never,never,Fiveormoretimes,None,Oneortwotimes
Israel,00785,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,Threeorfourtimes
Israel,00786,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00787,1996,Female,never,never,never,None,None,Oneortwotimes
Israel,00788,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00789,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00790,1996,Female,never,never,never,Fiveormoretimes,None,Oneortwotimes
Israel,00791,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,Threeorfourtimes
Israel,00792,1996,Female,never,never,NA,Fiveormoretimes,None,None
Israel,00793,1996,Female,never,never,never,None,None,None
Israel,00794,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00795,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00796,1996,Female,never,never,never,None,None,None
Israel,00797,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00798,1996,Female,never,never,NA,Oneortwotimes,None,Oneortwotimes
Israel,00799,1996,Female,never,never,never,Fiveormoretimes,Fiveormoretimes,Threeorfourtimes
Israel,00800,1996,Male,never,never,never,None,None,NA
Israel,00801,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00802,1996,Female,never,never,never,Threeorfourtimes,None,None
Israel,00803,1996,Female,never,never,never,Fiveormoretimes,Oneortwotimes,Oneortwotimes
Israel,00804,1996,Female,never,never,never,Fiveormoretimes,None,None
Israel,00805,1996,Male,never,never,never,Threeorfourtimes,Oneortwotimes,None
Israel,00806,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00807,1996,Male,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00808,1996,Female,never,never,never,Fiveormoretimes,None,Fiveormoretimes
Israel,00809,1996,Male,never,never,never,None,None,None
Israel,00810,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,00811,1996,Male,never,never,never,None,None,Oneortwotimes
Israel,00812,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00813,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,00814,1996,Female,never,never,never,None,Oneortwotimes,Oneortwotimes
Israel,00815,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,00816,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00817,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00818,1996,Female,never,never,never,Threeorfourtimes,Threeorfourtimes,Oneortwotimes
Israel,00819,1996,Male,never,never,never,None,None,None
Israel,00820,1996,Male,never,never,never,Fiveormoretimes,Threeorfourtimes,Fiveormoretimes
Israel,00821,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00822,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,None
Israel,00823,1996,Male,never,never,never,None,Oneortwotimes,Threeorfourtimes
Israel,00824,1996,Female,never,never,never,Fiveormoretimes,Threeorfourtimes,Fiveormoretimes
Israel,00825,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00826,1996,Male,never,never,never,Fiveormoretimes,None,Threeorfourtimes
Israel,00827,1996,Female,never,never,never,None,Oneortwotimes,Oneortwotimes
Israel,00828,1996,Male,never,never,never,None,None,None
Israel,00829,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00830,1996,Male,never,never,never,Threeorfourtimes,Oneortwotimes,Oneortwotimes
Israel,00831,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00832,1996,Female,never,never,never,None,None,None
Israel,00833,1996,Female,never,never,never,None,None,None
Israel,00834,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00835,1996,Female,never,never,never,None,None,Oneortwotimes
Israel,00836,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00837,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00838,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,Threeorfourtimes
Israel,00839,1996,Male,NA,once,NA,None,None,None
Israel,00840,1996,Male,never,never,never,None,None,None
Israel,00841,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00842,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00843,1996,Male,never,never,never,None,None,None
Israel,00844,1996,Male,never,never,never,None,None,None
Israel,00845,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00846,1996,Male,never,never,never,None,None,Oneortwotimes
Israel,00847,1996,Male,never,never,never,None,None,None
Israel,00848,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00849,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00850,1996,Male,never,never,never,None,None,None
Israel,00851,1996,Male,never,never,never,None,None,None
Israel,00852,1996,Male,once,NA,NA,Threeorfourtimes,Oneortwotimes,None
Israel,00853,1996,Male,never,never,never,None,None,None
Israel,00854,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00855,1996,Male,never,once,never,Oneortwotimes,Oneortwotimes,None
Israel,00856,1996,Male,never,never,never,Fiveormoretimes,Oneortwotimes,None
Israel,00857,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00858,1996,Male,never,never,NA,None,None,Oneortwotimes
Israel,00859,1996,Male,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00860,1996,Male,never,never,never,None,None,None
Israel,00861,1996,Male,never,never,never,None,None,None
Israel,00862,1996,Male,never,never,never,Fiveormoretimes,None,Oneortwotimes
Israel,00863,1996,Male,never,never,never,None,None,None
Israel,00864,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00865,1996,Male,never,never,never,Fiveormoretimes,None,None
Israel,00866,1996,Male,never,never,never,None,None,None
Israel,00867,1996,Male,never,never,never,Threeorfourtimes,None,None
Israel,00868,1996,Male,never,never,never,None,None,None
Israel,00869,1996,Male,never,never,never,Threeorfourtimes,None,None
Israel,00870,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00871,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,00872,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00873,1996,Female,never,never,never,None,None,None
Israel,00874,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00875,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00876,1996,Male,never,never,never,None,None,None
Israel,00877,1996,Female,never,never,never,None,None,None
Israel,00878,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00879,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00880,1996,Male,never,never,never,None,None,None
