Agree,Disagree,Stronglyagree,Stronglydisagree
34,7,65,1
48,7,43,4
39,11,18,2
86,9,38,3
192,37,125,3
328,55,149,9
1337,196,590,34
1658,238,736,29
1571,163,1092,18
960,89,866,8
