Agree,Disagree,Stronglyagree,Stronglydisagree
246,75,289,35
120,33,116,17
220,64,231,25
202,58,195,22
106,31,119,10
122,43,138,9
50,6,68,3
68,15,101,10
342,62,539,24
450,92,694,40
